species	accession
Campylobacter jejuni	GCF_900638205.1
Campylobacter jejuni	GCF_002224385.1
Campylobacter jejuni	GCF_002238355.1
Campylobacter jejuni subsp. jejuni 81-176	GCF_000015525.1
Campylobacter jejuni subsp. jejuni 1336	GCF_000163975.1
Campylobacter jejuni subsp. jejuni M1	GCF_000148705.1
Campylobacter jejuni subsp. jejuni	GCF_000737085.1
Campylobacter jejuni	GCF_001412295.1
Campylobacter jejuni subsp. jejuni	GCF_001299595.1
Campylobacter jejuni subsp. jejuni	GCF_001299565.1
Campylobacter jejuni	GCF_002214785.1
Campylobacter jejuni	GCF_002101355.1
Campylobacter jejuni subsp. jejuni	GCF_001686905.1
Campylobacter jejuni	GCF_001865395.1
Campylobacter jejuni	GCF_003368145.1
Campylobacter jejuni	GCF_001951275.1
Campylobacter jejuni	GCF_003368125.1
Campylobacter jejuni	GCF_003368065.1
Campylobacter jejuni 4031	GCF_000493495.1
Campylobacter jejuni	GCF_001951255.1
Campylobacter jejuni	GCF_001457695.1
Campylobacter jejuni subsp. jejuni	GCF_003999645.1
Campylobacter jejuni subsp. jejuni	GCF_002209005.1
Campylobacter jejuni subsp. doylei	GCF_002983725.1
Campylobacter jejuni subsp. doylei	GCF_900474415.1
Campylobacter jejuni subsp. doylei 269.97	GCF_000017485.1
Campylobacter jejuni	GCF_001507085.1
Campylobacter jejuni	GCF_001506405.1
Campylobacter jejuni subsp. jejuni	GCF_000835285.1
Campylobacter jejuni	GCF_001507145.1
Campylobacter jejuni	GCF_001507265.1
Campylobacter jejuni	GCF_001507065.1
Campylobacter jejuni	GCF_001506545.1
Campylobacter jejuni	GCF_001506645.1
Campylobacter jejuni	GCF_001506665.1
Campylobacter jejuni	GCF_001506885.1
Campylobacter jejuni	GCF_001507245.1
Campylobacter jejuni subsp. jejuni	GCF_000835345.1
Campylobacter jejuni	GCF_001506265.1
Campylobacter jejuni	GCF_001507185.1
Campylobacter jejuni	GCF_001506205.1
Campylobacter jejuni	GCF_001506245.1
Campylobacter jejuni	GCF_001506225.1
Campylobacter jejuni	GCF_001507105.1
Campylobacter jejuni	GCF_001507165.1
Campylobacter jejuni	GCF_001506285.1
Campylobacter jejuni	GCF_001506825.1
Campylobacter jejuni	GCF_001506445.1
Campylobacter jejuni	GCF_001507205.1
Campylobacter jejuni	GCF_001506705.1
Campylobacter jejuni	GCF_001506985.1
Campylobacter jejuni	GCF_001506505.1
Campylobacter jejuni	GCF_001506925.1
Campylobacter jejuni	GCF_001506365.1
Campylobacter jejuni	GCF_001506965.1
Campylobacter jejuni	GCF_001506845.1
Campylobacter jejuni	GCF_001506685.1
Campylobacter jejuni	GCF_001507025.1
Campylobacter jejuni	GCF_001507045.1
Campylobacter jejuni	GCF_001506805.1
Campylobacter jejuni	GCF_001506385.1
Campylobacter jejuni	GCF_001506765.1
Campylobacter jejuni	GCF_001506465.1
Campylobacter jejuni subsp. jejuni IA3902	GCF_000025425.1
Campylobacter jejuni	GCF_001506865.1
Campylobacter jejuni	GCF_001506785.1
Campylobacter jejuni	GCF_001506625.1
Campylobacter jejuni	GCF_001506425.1
Campylobacter jejuni	GCF_001506525.1
Campylobacter jejuni	GCF_001507225.1
Campylobacter jejuni	GCF_001506585.1
Campylobacter jejuni	GCF_900638165.1
Campylobacter jejuni	GCF_003368205.1
Campylobacter jejuni	GCF_003368245.1
Campylobacter jejuni	GCF_001506485.1
Campylobacter jejuni	GCF_001506605.1
Campylobacter jejuni	GCA_001506325.1
Campylobacter jejuni 32488	GCF_000430385.1
Campylobacter jejuni	GCF_001506345.1
Campylobacter jejuni	GCF_001506905.1
Campylobacter jejuni	GCF_001506945.1
Campylobacter jejuni	GCF_001506725.1
Campylobacter jejuni	GCF_001507005.1
Campylobacter jejuni	GCF_001507125.1
Campylobacter jejuni	GCF_001506185.1
Campylobacter jejuni	GCF_001506305.1
Campylobacter jejuni	GCF_001506745.1
Campylobacter jejuni subsp. jejuni	GCF_000835365.1
Campylobacter jejuni	GCF_001506565.1
Sulfurovum sp. NBC37-1	GCF_000010345.1
Sulfurovum lithotrophicum	GCA_000987835.1
Nitratifractor salsuginis DSM 16511	GCF_000186245.1
